"","date","parties","value","size","name","firm","date_from","sample_size"
"93","2021-05-31","LibDem",7.85,1,"line LibDem","","",""
"94","2021-05-31","UKIP",1.09,1,"line UKIP","","",""
"95","2021-05-31","Green",5.74,1,"line Green","","",""
"96","2021-05-31","SNP",4.25,1,"line SNP","","",""
"97","2021-05-31","PLPW",1,1,"line PLPW","","",""
"98","2021-05-31","BP",2.01,1,"line BP","","",""
"99","2021-05-31","ChUK",NA,1,"line ChUK","","",""
"100","2021-06-01","Con",43.37,1,"line Con","","",""
"101","2021-06-01","Lab",32.83,1,"line Lab","","",""
"102","2021-06-01","LibDem",7.71,1,"line LibDem","","",""
"103","2021-06-01","UKIP",1.1,1,"line UKIP","","",""
"104","2021-06-01","Green",5.93,1,"line Green","","",""
"105","2021-06-01","SNP",4.25,1,"line SNP","","",""
"106","2021-06-01","PLPW",1,1,"line PLPW","","",""
"107","2021-06-01","BP",2.01,1,"line BP","","",""
"108","2021-06-01","ChUK",NA,1,"line ChUK","","",""
"109","2021-06-02","Con",43.37,1,"line Con","","",""
"110","2021-06-02","Lab",32.84,1,"line Lab","","",""
"111","2021-06-02","LibDem",7.57,1,"line LibDem","","",""
"112","2021-06-02","UKIP",1.1,1,"line UKIP","","",""
"113","2021-06-02","Green",6.12,1,"line Green","","",""
"114","2021-06-02","SNP",4.25,1,"line SNP","","",""
"115","2021-06-02","PLPW",1,1,"line PLPW","","",""
"116","2021-06-02","BP",2.01,1,"line BP","","",""
"117","2021-06-02","ChUK",NA,1,"line ChUK","","",""
"118","2021-06-03","Con",43.46,1,"line Con","","",""
"119","2021-06-03","Lab",32.85,1,"line Lab","","",""
"120","2021-06-03","LibDem",7.28,1,"line LibDem","","",""
"121","2021-06-03","UKIP",1.11,1,"line UKIP","","",""
"122","2021-06-03","Green",6.33,1,"line Green","","",""
"123","2021-06-03","SNP",4.3,1,"line SNP","","",""
"124","2021-06-03","PLPW",1,1,"line PLPW","","",""
"125","2021-06-03","BP",2.01,1,"line BP","","",""
"126","2021-06-03","ChUK",NA,1,"line ChUK","","",""
"127","2021-06-04","Con",43.45,1,"line Con","","",""
"128","2021-06-04","Lab",32.92,1,"line Lab","","",""
"129","2021-06-04","LibDem",7.34,1,"line LibDem","","",""
"130","2021-06-04","UKIP",1.12,1,"line UKIP","","",""
"131","2021-06-04","Green",6.16,1,"line Green","","",""
"132","2021-06-04","SNP",4.32,1,"line SNP","","",""
"133","2021-06-04","PLPW",1,1,"line PLPW","","",""
"134","2021-06-04","BP",2.01,1,"line BP","","",""
"135","2021-06-04","ChUK",NA,1,"line ChUK","","",""
"136","2021-06-05","Con",43.44,1,"line Con","","",""
"137","2021-06-05","Lab",32.98,1,"line Lab","","",""
"138","2021-06-05","LibDem",7.4,1,"line LibDem","","",""
"139","2021-06-05","UKIP",1.13,1,"line UKIP","","",""
"140","2021-06-05","Green",5.99,1,"line Green","","",""
"141","2021-06-05","SNP",4.34,1,"line SNP","","",""
"142","2021-06-05","PLPW",1,1,"line PLPW","","",""
"143","2021-06-05","BP",2.01,1,"line BP","","",""
"144","2021-06-05","ChUK",NA,1,"line ChUK","","",""
"145","2021-06-06","Con",43.42,1,"line Con","","",""
"146","2021-06-06","Lab",33.05,1,"line Lab","","",""
"147","2021-06-06","LibDem",7.47,1,"line LibDem","","",""
"148","2021-06-06","UKIP",1.14,1,"line UKIP","","",""
"149","2021-06-06","Green",5.83,1,"line Green","","",""
"150","2021-06-06","SNP",4.35,1,"line SNP","","",""
"151","2021-06-06","PLPW",1,1,"line PLPW","","",""
"152","2021-06-06","BP",2.02,1,"line BP","","",""
"153","2021-06-06","ChUK",NA,1,"line ChUK","","",""
"154","2021-06-07","Con",43.38,1,"line Con","","",""
"155","2021-06-07","Lab",33.16,1,"line Lab","","",""
"156","2021-06-07","LibDem",7.45,1,"line LibDem","","",""
"157","2021-06-07","UKIP",1.14,1,"line UKIP","","",""
"158","2021-06-07","Green",5.84,1,"line Green","","",""
"159","2021-06-07","SNP",4.46,1,"line SNP","","",""
"160","2021-06-07","PLPW",1,1,"line PLPW","","",""
"161","2021-06-07","BP",2.03,1,"line BP","","",""
"162","2021-06-07","ChUK",NA,1,"line ChUK","","",""
"163","2021-06-08","Con",43.32,1,"line Con","","",""
"164","2021-06-08","Lab",33.19,1,"line Lab","","",""
"165","2021-06-08","LibDem",7.45,1,"line LibDem","","",""
"166","2021-06-08","UKIP",1.25,1,"line UKIP","","",""
"167","2021-06-08","Green",5.99,1,"line Green","","",""
"168","2021-06-08","SNP",4.52,1,"line SNP","","",""
"169","2021-06-08","PLPW",1,1,"line PLPW","","",""
"170","2021-06-08","BP",2.05,1,"line BP","","",""
"171","2021-06-08","ChUK",NA,1,"line ChUK","","",""
"172","2021-06-09","Con",43.25,1,"line Con","","",""
"173","2021-06-09","Lab",33.21,1,"line Lab","","",""
"174","2021-06-09","LibDem",7.45,1,"line LibDem","","",""
"175","2021-06-09","UKIP",1.35,1,"line UKIP","","",""
"176","2021-06-09","Green",6.14,1,"line Green","","",""
"177","2021-06-09","SNP",4.58,1,"line SNP","","",""
"178","2021-06-09","PLPW",1,1,"line PLPW","","",""
"179","2021-06-09","BP",2.07,1,"line BP","","",""
"180","2021-06-09","ChUK",NA,1,"line ChUK","","",""
"181","2021-06-10","Con",43.18,1,"line Con","","",""
"182","2021-06-10","Lab",33.24,1,"line Lab","","",""
"183","2021-06-10","LibDem",7.44,1,"line LibDem","","",""
"184","2021-06-10","UKIP",1.46,1,"line UKIP","","",""
"185","2021-06-10","Green",6.3,1,"line Green","","",""
"186","2021-06-10","SNP",4.64,1,"line SNP","","",""
"187","2021-06-10","PLPW",1,1,"line PLPW","","",""
"188","2021-06-10","BP",2.09,1,"line BP","","",""
"189","2021-06-10","ChUK",NA,1,"line ChUK","","",""
"190","2021-06-11","Con",43.13,1,"line Con","","",""
"191","2021-06-11","Lab",33.27,1,"line Lab","","",""
"192","2021-06-11","LibDem",7.29,1,"line LibDem","","",""
"193","2021-06-11","UKIP",1.57,1,"line UKIP","","",""
"194","2021-06-11","Green",6.29,1,"line Green","","",""
"195","2021-06-11","SNP",4.77,1,"line SNP","","",""
"196","2021-06-11","PLPW",1,1,"line PLPW","","",""
"197","2021-06-11","BP",2.16,1,"line BP","","",""
"198","2021-06-11","ChUK",NA,1,"line ChUK","","",""
"199","2021-06-12","Con",43.09,1,"line Con","","",""
"200","2021-06-12","Lab",33.27,1,"line Lab","","",""
"201","2021-06-12","LibDem",7.35,1,"line LibDem","","",""
"202","2021-06-12","UKIP",1.67,1,"line UKIP","","",""
"203","2021-06-12","Green",6.17,1,"line Green","","",""
"204","2021-06-12","SNP",4.69,1,"line SNP","","",""
"205","2021-06-12","PLPW",1,1,"line PLPW","","",""
"206","2021-06-12","BP",2.22,1,"line BP","","",""
"207","2021-06-12","ChUK",NA,1,"line ChUK","","",""
"208","2021-06-13","Con",43.05,1,"line Con","","",""
"209","2021-06-13","Lab",33.27,1,"line Lab","","",""
"210","2021-06-13","LibDem",7.42,1,"line LibDem","","",""
"211","2021-06-13","UKIP",1.78,1,"line UKIP","","",""
"212","2021-06-13","Green",6.05,1,"line Green","","",""
"213","2021-06-13","SNP",4.6,1,"line SNP","","",""
"214","2021-06-13","PLPW",1,1,"line PLPW","","",""
"215","2021-06-13","BP",2.28,1,"line BP","","",""
"216","2021-06-13","ChUK",NA,1,"line ChUK","","",""
"217","2021-06-14","Con",43.05,1,"line Con","","",""
